IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
5.133.122.228,ip,SB,CA,4,OT,1118470,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
76.165.13.247,ip,SB,CA,4,OT,1118468,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
189.165.70.195,ip,SB,CA,4,OT,1118466,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
36.94.136.161,ip,SB,CA,4,OT,1118464,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
14.103.127.30,ip,SB,CA,4,OT,1118462,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
103.245.249.64,ip,SB,CA,4,OT,1118460,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
192.159.99.34,ip,SO,MC,8,OT,1117928,2026-05-14 13:56:08.762249,2026-05-21 11:13:29
123.21.26.166,ip,SO,CA,8,OT,1117924,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
118.99.102.207,ip,SO,CA,8,OT,1117922,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
190.220.172.154,ip,SO,CA,8,OT,1117920,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
103.20.223.33,ip,SO,CA,8,OT,1117918,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
154.19.37.146,ip,SO,CA,8,OT,1117916,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
103.215.80.173,ip,SO,CA,8,OT,1117914,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
45.65.233.18,ip,SO,CA,8,OT,1117912,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
115.133.192.219,ip,SO,CA,8,OT,1117910,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
101.36.124.219,ip,SO,CA,8,OT,1117908,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
86.109.75.158,ip,SO,CA,8,OT,1117906,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
168.144.72.7,ip,SO,CA,8,OT,1117904,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
104.245.244.139,ip,SO,CA,8,OT,1117902,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
165.154.236.240,ip,SO,CA,8,OT,1117900,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
101.96.197.182,ip,SO,CA,8,OT,1117898,2026-05-14 13:54:33.39769,2026-05-21 11:13:29
45.61.136.94,ip,SB,MC,8,OT,1117874,2026-05-14 12:27:18.632453,2026-05-21 11:13:29
64.95.12.238,ip,SB,MC,8,OT,1117872,2026-05-14 12:27:18.632453,2026-05-21 11:13:29
64.95.13.76,ip,SB,MC,8,OT,1117870,2026-05-14 12:27:18.632453,2026-05-21 11:13:29
162.33.179.149,ip,SB,MC,8,OT,1117868,2026-05-14 12:27:18.632453,2026-05-21 11:13:29
144.172.99.68,ip,SB,MC,8,OT,1117866,2026-05-14 12:27:18.632453,2026-05-21 11:13:29
64.95.10.14,ip,SB,MC,8,OT,1117864,2026-05-14 12:27:18.632453,2026-05-21 11:13:29
169.197.141.206,ip,SB,MC,8,BC,1117732,2026-05-14 09:20:30.721616,2026-05-21 11:13:29
154.44.9.131,ip,SO,CA,8,OT,1117488,2026-05-13 13:27:07.066734,2026-05-21 11:13:29
183.6.102.107,ip,SO,CA,8,OT,1117486,2026-05-13 13:27:07.066734,2026-05-21 11:13:29
143.202.209.23,ip,SO,CA,8,OT,1117484,2026-05-13 13:27:07.066734,2026-05-21 11:13:29
188.69.225.188,ip,SO,CA,8,OT,1117482,2026-05-13 13:27:07.066734,2026-05-21 11:13:29
185.41.153.188,ip,SO,CA,8,OT,1117480,2026-05-13 13:27:07.066734,2026-05-21 11:13:29
47.236.124.158,ip,SO,CA,8,OT,1117478,2026-05-13 13:27:07.066734,2026-05-21 11:13:29
144.124.255.116,ip,SO,CA,8,OT,1117476,2026-05-13 13:27:07.066734,2026-05-21 11:13:29
94.74.164.207,ip,SO,MC,8,OT,1117474,2026-05-13 13:25:54.145214,2026-05-21 11:13:29
138.226.236.51,ip,SO,MC,8,OT,1117472,2026-05-13 13:25:54.145214,2026-05-21 11:13:29
47.239.152.76,ip,SO,CA,8,OT,1117470,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
193.32.162.35,ip,SO,CA,8,OT,1117468,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
110.35.80.116,ip,SO,CA,8,OT,1117466,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
138.197.39.208,ip,SO,CA,8,OT,1117464,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
171.231.196.113,ip,SO,CA,8,OT,1117462,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
47.84.12.247,ip,SO,CA,8,OT,1117460,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
152.136.57.182,ip,SO,CA,8,OT,1117458,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
116.110.220.100,ip,SO,CA,8,OT,1117456,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
38.54.76.52,ip,SO,CA,8,OT,1117454,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
43.134.49.202,ip,SO,CA,8,OT,1117452,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
115.227.49.23,ip,SO,CA,8,OT,1117450,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
47.76.254.49,ip,SO,CA,8,OT,1117448,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
121.196.227.86,ip,SO,CA,8,OT,1117446,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
165.154.224.51,ip,SO,CA,8,OT,1117444,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
8.218.86.19,ip,SO,CA,8,OT,1117442,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
45.142.193.161,ip,SO,CA,8,OT,1117440,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
101.126.141.180,ip,SO,CA,8,OT,1117438,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
47.250.112.159,ip,SO,CA,8,OT,1117436,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
14.103.104.162,ip,SO,CA,8,OT,1117434,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
202.131.126.140,ip,SO,CA,8,OT,1117432,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
116.99.170.93,ip,SO,CA,8,OT,1117430,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
5.61.209.102,ip,SO,CA,8,OT,1117428,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
121.29.4.103,ip,SO,CA,8,OT,1117426,2026-05-13 13:24:22.33231,2026-05-21 11:13:29
