IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
nltanalhemenl.net,domain,IH,BP,4,PH,1124458,2026-06-08 12:34:03.303776,2026-06-08 13:16:35
orsnvsysrna.net,domain,IH,BP,4,PH,1124456,2026-06-08 12:32:45.000092,2026-06-08 13:16:35
hukukdosyatakip.org,domain,IH,PH,4,PH,1124454,2026-06-08 12:21:33.622001,2026-06-08 13:16:35
dispatch.news7-days-info.org,domain,IH,PH,4,PH,1124452,2026-06-08 12:18:24.802477,2026-06-08 13:16:35
istanbuldurbizim.xyz,domain,IH,PH,4,PH,1124450,2026-06-08 12:15:02.303667,2026-06-08 13:16:35
guncelnotlistesi.com,domain,IH,BP,4,PH,1124448,2026-06-08 12:07:59.711825,2026-06-08 13:16:35
ep6pheij.com,domain,SB,MD,8,OT,1124446,2026-06-08 11:56:16.61035,2026-06-08 13:16:35
business-data-leaks.com,domain,SB,MD,8,OT,1124444,2026-06-08 11:56:16.61035,2026-06-08 13:16:35
r99sadhashdh9asdhahsdsk2.click,domain,IH,BP,4,PH,1124440,2026-06-08 11:38:07.095561,2026-06-08 13:16:35
mundial2026.click,domain,IH,BP,4,PH,1124418,2026-06-08 11:35:10.696639,2026-06-08 13:16:35
techmora.sbs,domain,IH,BP,4,PH,1124416,2026-06-08 11:33:24.611107,2026-06-08 13:16:35
istanbulunhesezzzaris.shop,domain,IH,BP,4,PH,1124412,2026-06-08 11:29:56.698021,2026-06-08 13:16:35
mhhres.dns.navy,domain,IH,PH,4,PH,1124410,2026-06-08 11:27:45.396392,2026-06-08 13:16:35
ecezakontrol.org,domain,IH,BP,4,PH,1124408,2026-06-08 11:27:08.909151,2026-06-08 13:16:35
govlens.net,domain,SB,MD,8,OT,1124406,2026-06-08 11:26:17.601048,2026-06-08 13:16:35
live-war-map.com,domain,SB,MD,8,OT,1124404,2026-06-08 11:26:17.601048,2026-06-08 13:16:35
pdf-reader.help,domain,SB,MD,8,OT,1124402,2026-06-08 11:26:17.601048,2026-06-08 13:16:35
oyrnassevry.net,domain,IH,PH,4,PH,1124400,2026-06-08 11:24:30.099685,2026-06-08 13:16:35
sonnnnkmpnyaalrrremekliirpsmynnn.art,domain,IH,BP,4,PH,1124398,2026-06-08 11:20:56.394816,2026-06-08 13:16:35
mehhrs.dns.navy,domain,IH,PH,4,PH,1124396,2026-06-08 11:20:14.906995,2026-06-08 13:16:35
carderyakuptv.click,domain,IH,PH,4,PH,1124394,2026-06-08 11:19:41.871882,2026-06-08 13:16:35
srnarcdanismanlik.blogspot.com,domain,IH,PH,4,PH,1124392,2026-06-08 11:18:14.695749,2026-06-08 13:16:35
ashx.lhlsjcb.com,domain,SB,MD,8,OT,1124390,2026-06-08 11:17:55.1989,2026-06-08 13:16:35
ahhoh.sbs,domain,IH,BP,4,PH,1124388,2026-06-08 11:16:04.601046,2026-06-08 13:16:35
756432234.net,domain,IH,PH,4,PH,1124386,2026-06-08 11:15:26.505865,2026-06-08 13:16:35
652432431.net,domain,IH,PH,4,PH,1124384,2026-06-08 11:15:06.40251,2026-06-08 13:16:35
alvoriax.shop,domain,IH,PH,4,PH,1124382,2026-06-08 11:14:49.631491,2026-06-08 13:16:35
robutay.digital,domain,IH,BP,4,PH,1124380,2026-06-08 11:13:06.130693,2026-06-08 13:16:35
foodline.gifts,domain,IH,BP,4,PH,1124378,2026-06-08 11:12:58.700328,2026-06-08 13:16:35
capgiraffewaste.com,domain,IH,BP,4,PH,1124376,2026-06-08 11:12:53.797703,2026-06-08 13:16:35
williampalankphoto.com,domain,SB,BP,4,PH,1124374,2026-06-08 11:12:45.702574,2026-06-08 13:16:35
sobolebumkin.sbs,domain,IH,BP,4,PH,1124372,2026-06-08 11:12:44.797272,2026-06-08 13:16:35
dvsc-promo.top,domain,IH,BP,4,PH,1124370,2026-06-08 11:09:26.31326,2026-06-08 13:16:35
etiketkbayi.lat,domain,IH,BP,4,PH,1124368,2026-06-08 11:08:13.912572,2026-06-08 13:16:35
kubamagaza.com,domain,IH,BP,4,PH,1124366,2026-06-08 11:05:04.35657,2026-06-08 13:16:35
kubaaraclari.com,domain,IH,BP,4,PH,1124364,2026-06-08 11:04:55.603043,2026-06-08 13:16:35
vuhukulupolisede.lat,domain,IH,BP,4,PH,1124362,2026-06-08 11:02:55.409453,2026-06-08 13:16:35
gardenino.shop,domain,IH,PH,4,PH,1124360,2026-06-08 11:01:14.899747,2026-06-08 13:16:35
hsons.top,domain,IH,PH,4,PH,1124358,2026-06-08 11:00:27.407626,2026-06-08 13:16:35
krox020x12jj.duckdns.org,domain,IH,BP,4,PH,1124356,2026-06-08 10:59:11.504474,2026-06-08 13:16:35
landcomcare.com,domain,IH,BP,4,PH,1124354,2026-06-08 10:58:31.497016,2026-06-08 13:16:35
hgsbakiyeniziyukleyn.web.app,domain,IH,PH,4,PH,1124352,2026-06-08 10:58:10.701437,2026-06-08 13:16:35
qilavornexo.shop,domain,IH,PH,4,PH,1124350,2026-06-08 10:56:23.002536,2026-06-08 13:16:35
istanbulhemencan.xyz,domain,IH,PH,4,PH,1124348,2026-06-08 10:55:33.111491,2026-06-08 13:16:35
bsvrrkmpnyyyprmsnynnfrstlar.info,domain,SB,BP,4,PH,1124346,2026-06-08 10:54:00.743831,2026-06-08 13:16:35
odeme-siparisim-12568.com,domain,IH,BP,4,PH,1124344,2026-06-08 08:58:50.51856,2026-06-08 13:16:35
hillsidee.com,domain,IH,PH,4,PH,1124342,2026-06-08 08:58:47.028258,2026-06-08 13:16:35
nuvqaloravantis.xyz,domain,IH,BP,4,PH,1124340,2026-06-08 08:28:45.414519,2026-06-08 13:16:35
valuerstudio.com,domain,IH,PH,4,PH,1124338,2026-06-08 08:19:37.845632,2026-06-08 13:16:35
checkle.live,domain,IH,PH,4,PH,1124336,2026-06-08 08:07:13.358643,2026-06-08 13:16:35
basrolsensiin.lat,domain,IH,BP,4,PH,1124334,2026-06-08 07:57:14.000762,2026-06-08 13:16:35
hadidmaosuz.com,domain,IH,PH,4,PH,1124332,2026-06-08 07:56:31.984543,2026-06-08 13:16:35
nudorleto.online,domain,IH,BP,4,PH,1124330,2026-06-08 07:50:26.36809,2026-06-08 13:16:35
thykampanyalari.rest,domain,IH,BP,4,PH,1124328,2026-06-08 07:49:49.702238,2026-06-08 13:16:35
hastaneminkontrolu.cfd,domain,IH,PH,4,PH,1124326,2026-06-08 07:49:43.312026,2026-06-08 13:16:35
tamevix.com,domain,IH,BP,4,PH,1124324,2026-06-08 07:46:19.49966,2026-06-08 13:16:35
bendenkorkmasan8.vip,domain,IH,PH,4,PH,1124322,2026-06-08 07:46:16.301661,2026-06-08 13:16:35
xn--hadscmszu-ypb.com,domain,IH,PH,4,PH,1124320,2026-06-08 07:44:49.303275,2026-06-08 13:16:35
optics-importantly-courage-educators.trycloudflare.com,domain,IH,PH,4,PH,1124318,2026-06-08 07:43:59.299606,2026-06-08 13:16:35
alo-1822.com,domain,IH,PH,4,PH,1124316,2026-06-08 07:41:59.90054,2026-06-08 13:16:35
aloo182.com,domain,IH,PH,4,PH,1124314,2026-06-08 07:38:53.403471,2026-06-08 13:16:35
all000l.dns.navy,domain,IH,PH,4,PH,1124312,2026-06-08 07:35:45.002776,2026-06-08 13:16:35
shopventura.shop,domain,IH,PH,4,PH,1124310,2026-06-08 07:18:57.808315,2026-06-08 13:16:35
hizmetlermzokul.com,domain,IH,PH,4,PH,1124308,2026-06-08 07:17:33.50844,2026-06-08 13:16:35
tr-karcas.shop,domain,IH,PH,4,PH,1124306,2026-06-08 06:50:31.773372,2026-06-08 13:16:35
allo182.com,domain,IH,PH,4,PH,1124304,2026-06-08 06:47:35.242239,2026-06-08 13:16:35
zellserfdb.blogspot.com,domain,IH,BP,4,PH,1124302,2026-06-08 06:46:59.972655,2026-06-08 13:16:35
info-akb.online,domain,IH,BP,4,PH,1124300,2026-06-08 06:46:08.451138,2026-06-08 13:16:35
parbuynowshop.com,domain,IH,PH,4,PH,1124298,2026-06-08 06:41:32.184019,2026-06-08 13:16:35
asons.top,domain,IH,PH,4,PH,1124296,2026-06-08 06:40:34.499654,2026-06-08 13:16:35
tr-karacas.shop,domain,IH,BP,4,PH,1124294,2026-06-08 05:54:44.396409,2026-06-08 13:16:35
wallmilo.com,domain,IH,PH,4,PH,1124292,2026-06-08 05:54:03.998324,2026-06-08 13:16:35
babasananolmusbaba.dns.navy,domain,IH,BP,4,PH,1124290,2026-06-08 05:34:49.119077,2026-06-08 13:16:35
dijitalbasvurukatilimi.sbs,domain,IH,BP,4,PH,1124288,2026-06-08 05:34:16.009633,2026-06-08 13:16:35
ravoqenlitu.shop,domain,IH,BP,4,PH,1124286,2026-06-08 05:31:57.10015,2026-06-08 13:16:35
tr-karca.top,domain,IH,BP,4,PH,1124284,2026-06-08 05:31:25.893288,2026-06-08 13:16:35
lurox.bond,domain,SB,PH,4,PH,1124282,2026-06-08 05:30:26.892583,2026-06-08 13:16:35
krybra.site,domain,SB,PH,4,PH,1124280,2026-06-08 05:30:26.892583,2026-06-08 13:16:35
knowledgetree.courses,domain,SB,PH,4,PH,1124278,2026-06-08 05:30:26.892583,2026-06-08 13:16:35
leadguru.shop,domain,SB,PH,4,PH,1124276,2026-06-08 05:30:26.892583,2026-06-08 13:16:35
salealert.vu,domain,SB,PH,4,PH,1124274,2026-06-08 05:30:26.892583,2026-06-08 13:16:35
motovox.bond,domain,SB,PH,4,PH,1124272,2026-06-08 05:29:57.407296,2026-06-08 13:16:35
sinodo.online,domain,SB,PH,4,PH,1124270,2026-06-08 05:29:57.407296,2026-06-08 13:16:35
lyxgonu.website,domain,SB,PH,4,PH,1124268,2026-06-08 05:29:57.407296,2026-06-08 13:16:35
guvenlisepetler-hizmet.online,domain,SB,BP,4,PH,1124266,2026-06-08 05:19:02.035108,2026-06-08 13:16:35
vaxorilqemu.xyz,domain,IH,BP,4,PH,1124264,2026-06-08 05:17:09.598448,2026-06-08 13:16:35
ptt.avmhemenal.com,domain,IH,BP,4,PH,1124262,2026-06-08 05:15:18.894515,2026-06-08 13:16:35
sahibinden-get.guvenlisepetler-hizmet.online,domain,IH,BP,4,PH,1124260,2026-06-08 05:14:29.097753,2026-06-08 13:16:35
alimlarinizhizmetler.online,domain,SB,BP,4,PH,1124258,2026-06-08 05:14:01.146739,2026-06-08 13:16:35
sahibinden-get.alimlarinizhizmetler.online,domain,IH,BP,4,PH,1124256,2026-06-08 05:13:37.701516,2026-06-08 13:16:35
odeme-siparisim-12569.com,domain,IH,BP,4,PH,1124254,2026-06-08 05:12:51.601683,2026-06-08 13:16:35
xavirelmondiq.xyz,domain,IH,BP,4,PH,1124252,2026-06-08 05:11:10.994793,2026-06-08 13:16:35
trendpulsif.com,domain,IH,BP,4,PH,1124250,2026-06-08 05:09:55.296767,2026-06-08 13:16:35
trbncdogrulama2026masak.duckdns.org,domain,IH,BP,4,PH,1124248,2026-06-08 01:03:09.007593,2026-06-08 13:16:35
hgsxsbasvuru.duckdns.org,domain,SB,BP,4,PH,1124246,2026-06-08 00:04:00.69388,2026-06-08 13:16:35
mallora.shop,domain,IH,BP,4,PH,1124244,2026-06-08 00:03:20.407065,2026-06-08 13:16:35
qelvornexlyra.xyz,domain,IH,BP,4,PH,1124242,2026-06-07 22:31:11.000031,2026-06-08 13:16:35
hayde.click,domain,IH,BP,4,PH,1124240,2026-06-07 21:11:02.495394,2026-06-08 13:16:35
dolandiriciyakuptv.click,domain,IH,BP,4,PH,1124238,2026-06-07 21:09:45.838466,2026-06-08 13:16:35
edavamuzlasma.org,domain,SB,BP,4,PH,1124236,2026-06-07 21:09:00.848651,2026-06-08 13:16:35
piyasabizim.click,domain,IH,BP,4,PH,1124234,2026-06-07 21:02:33.095793,2026-06-08 13:16:35
guhubumuveredete.lol,domain,IH,BP,4,PH,1124232,2026-06-07 21:02:01.307071,2026-06-08 13:16:35
efsgarxdwqk.duckdns.org,domain,IH,BP,4,PH,1124230,2026-06-07 21:01:06.500573,2026-06-08 13:16:35
alo182.com,domain,IH,BP,4,PH,1124228,2026-06-07 20:10:25.595913,2026-06-08 13:16:35
yalatiyonkoltukaltivi.click,domain,IH,BP,4,PH,1124226,2026-06-07 20:01:28.003464,2026-06-08 13:16:35
g131gdsdgh.lol,domain,IH,BP,4,PH,1124224,2026-06-07 20:00:19.503892,2026-06-08 13:16:35
tamamladim.click,domain,IH,BP,4,PH,1124222,2026-06-07 19:38:46.892662,2026-06-07 20:02:50
takirtukir.click,domain,IH,BP,4,PH,1124220,2026-06-07 19:36:19.327946,2026-06-07 20:02:50
laylaylom.click,domain,IH,BP,4,PH,1124218,2026-06-07 18:52:50.197736,2026-06-07 20:02:50
avmhemenal.com,domain,IH,BP,4,PH,1124216,2026-06-07 18:48:29.605134,2026-06-07 20:02:50
